game_id;boardgame;avg_rating;num_ratings;complexity;wishlisted;total_plays;amazon_price;url;description;player_id;playtime_id
97;Eclipse: New Dawn for the Galaxy;7.822;28843;3.71;6825;55581;NULL;https://boardgamegeek.com/boardgame/72125/eclipse-new-dawn-for-the-galaxy;Build an interstellar civilization by exploration, research, conquest, and diplomacy.;11;30
98;Aeon's End;7.876;22879;2.81;8407;130005;51.17;https://boardgamegeek.com/boardgame/191189/aeons-end;Mages must reach their full potential to defend humanity from terrible monstrosities.;3;2
99;El Grande;7.765;31599;2.94;7400;63315;49.99;https://boardgamegeek.com/boardgame/93/el-grande;Use your caballeros to control regions of medieval Spain, keeping clear of the King!;16;1
100;Lords of Waterdeep;7.731;58007;2.45;11120;190133;NULL;https://boardgamegeek.com/boardgame/110327/lords-of-waterdeep;Deploy agents and hire adventurers to expand your control over the city of Waterdeep.;16;1
101;SCOUT;7.813;23798;1.38;5174;167615;22.99;https://boardgamegeek.com/boardgame/291453/scout;Poach your opponents' artists and outdo each other's circus shows.;34;21
102;Teotihuacan: City of Gods;7.845;21364;3.77;5720;80807;56.97;https://boardgamegeek.com/boardgame/229853/teotihuacan-city-of-gods;Use your worker dice to raise the legendary and breathtaking Pyramid of the Sun.;3;8
103;Concordia Venus;8.264;7022;3.01;3031;18463;64.38;https://boardgamegeek.com/boardgame/256916/concordia-venus;Merchants build and trade throughout the Roman Empire to please the Gods.;27;1
104;Final Girl;8.242;9298;2.74;3979;52752;26.75;https://boardgamegeek.com/boardgame/277659/final-girl;You alone must survive and defeat the horror movie killer.;35;40
105;Beyond the Sun;7.878;16615;3.14;6562;67587;67.84;https://boardgamegeek.com/boardgame/317985/beyond-the-sun;Collectively develop a tech tree to fuel new discoveries and colonize space.;1;1
106;Voidfall;8.532;5654;4.59;6131;20136;120.0;https://boardgamegeek.com/boardgame/337627/voidfall;Repel the Voidborn and restore Domineum in this space themed, heavy Euro.;26;41
107;Through the Ages: A Story of Civilization;7.824;19728;4.18;4276;75234;NULL;https://boardgamegeek.com/boardgame/25613/through-the-ages-a-story-of-civilization;Lead your civilization through strategic drafting of leaders, technologies, and more.;10;5
108;Dominant Species;7.804;22033;4.04;7359;37674;76.16;https://boardgamegeek.com/boardgame/62219/dominant-species;With an ice age approaching, which animals will best propagate, migrate, and adapt?;11;31
109;7 Wonders;7.669;109771;2.31;14516;639978;46.05;https://boardgamegeek.com/boardgame/68448/7-wonders;Draft cards to develop your ancient civilization and build its Wonder of the World.;36;16
110;The Search for Planet X;7.913;14531;2.43;6408;57788;40.67;https://boardgamegeek.com/boardgame/279537/the-search-for-planet-x;Plan, scan, and theorize to find a new planet at the edge of our solar system.;7;42
111;Robinson Crusoe: Adventures on the Cursed Island;7.731;45682;3.83;13284;125987;48.95;https://boardgamegeek.com/boardgame/121921/robinson-crusoe-adventures-on-the-cursed-island;Work together — with friends or with Friday — to survive on a deserted island.;3;1
112;The Voyages of Marco Polo;7.769;25819;3.18;4930;101052;NULL;https://boardgamegeek.com/boardgame/171623/the-voyages-of-marco-polo;Using unique abilities, fulfill contracts and reach your goals along the Silk Road.;10;43
113;Arcs;8.066;12182;3.42;9234;33907;56.46;https://boardgamegeek.com/boardgame/359871/arcs;Lead a spacefaring society through an epic saga.;1;1
114;Splendor Duel;7.892;16392;2.01;4024;100413;32.99;https://boardgamegeek.com/boardgame/364073/splendor-duel;Renaissance merchants go head to head to please nobility by collecting jewels.;13;16
115;Decrypto;7.767;25669;1.83;7040;90272;24.99;https://boardgamegeek.com/boardgame/225694/decrypto;Decipher your opponents' code before they decipher yours. Don't get caught.;37;44
116;Trickerion: Legends of Illusion;7.97;12040;4.26;4329;26281;65.0;https://boardgamegeek.com/boardgame/163068/trickerion-legends-of-illusion;Magicians perform dazzling tricks for money and fame in a Victorian steampunk world.;1;30
117;Inis;7.82;22097;2.95;9202;50242;70.39;https://boardgamegeek.com/boardgame/155821/inis;Claim the crown through merit and wisdom in this Celtic island struggle.;1;19
118;Battlestar Galactica: The Board Game;7.729;37256;3.25;6840;84947;NULL;https://boardgamegeek.com/boardgame/37111/battlestar-galactica-the-board-game;How can the human race survive when you don't know who is actually human?;4;11
119;Carnegie;7.982;11008;3.81;3654;41867;56.62;https://boardgamegeek.com/boardgame/310873/carnegie;Become the most influential entrepreneur and benefactor of your era!;8;8
120;Dwellings of Eldervale;8.125;8757;3.25;7029;25430;99.89;https://boardgamegeek.com/boardgame/271055/dwellings-of-eldervale;Battle for control of a new fantasy realm in this worker placement game.;12;10
121;The Quest for El Dorado;7.707;30116;1.94;8788;117507;NULL;https://boardgamegeek.com/boardgame/217372/the-quest-for-el-dorado;Race through a dense South American jungle in pursuit of the legendary city of gold.;28;29
122;Architects of the West Kingdom;7.715;31434;2.76;7507;115813;52.5;https://boardgamegeek.com/boardgame/236457/architects-of-the-west-kingdom;Will you be a virtuous or nefarious servant of the king? Build your way to glory.;5;45
123;Tainted Grail: The Fall of Avalon;8.046;13542;3.36;6579;66946;102.25;https://boardgamegeek.com/boardgame/264220/tainted-grail-the-fall-of-avalon;Embark on a fantastic adventure set in dark Arthurian lore and legends.;3;1
124;Ra;7.674;29298;2.31;8385;117900;224.99;https://boardgamegeek.com/boardgame/12/ra;Fancy an auction to acquire ancient monuments, pharaohs, and relics? Invoke Ra!;16;34
125;Keyflower;7.715;24047;3.34;6619;65198;58.37;https://boardgamegeek.com/boardgame/122515/keyflower;Compete in a unique auction system to build the most prosperous village.;27;8
126;Nemesis: Lockdown;8.282;7409;3.91;2901;15344;131.85;https://boardgamegeek.com/boardgame/310100/nemesis-lockdown;Outsmart alien terrors and devious rivals in a treacherous Martian lab.;5;17
127;Tigris & Euphrates;7.701;29482;3.48;7937;75537;NULL;https://boardgamegeek.com/boardgame/42/tigris-and-euphrates;Keep your Mesopotamian civilization in perfect balance through revolutions and wars.;1;1
128;Raiders of the North Sea;7.725;25718;2.57;7225;82570;81.77;https://boardgamegeek.com/boardgame/170042/raiders-of-the-north-sea;Gather your Viking crew in order to plunder seas and lands for glory!;10;45
129;Dominion: Intrigue;7.689;34342;2.41;3204;108058;33.89;https://boardgamegeek.com/boardgame/40834/dominion-intrigue;Enlist torturers, swindlers, and saboteurs to gain wealth and dominate the kingdom.;38;16
130;Caylus;7.708;29656;3.79;5442;69921;124.99;https://boardgamegeek.com/boardgame/18602/caylus;Entrepreneurs pay workers & bribe an official to build a Château & gain royal favor.;16;10
131;Lorenzo il Magnifico;7.834;14810;3.29;3157;46008;42.5;https://boardgamegeek.com/boardgame/203993/lorenzo-il-magnifico;Avoid excommunication and lead your family to power during the Italian Renaissance.;10;1
132;Eldritch Horror;7.744;38144;3.32;9306;103322;59.95;https://boardgamegeek.com/boardgame/146021/eldritch-horror;Investigators trek across the globe to stop the Ancient One apocalypse.;39;31
133;Troyes;7.708;24496;3.38;5866;78629;NULL;https://boardgamegeek.com/boardgame/73439/troyes;Defend the city and rise to power by influencing the clergy, nobility and peasants.;8;23
134;Wyrmspan;7.989;11976;2.81;5752;47916;65.0;https://boardgamegeek.com/boardgame/410201/wyrmspan;Build a cavernous sanctuary for dragons of all shapes and sizes!;12;23
135;Mombasa;7.84;13678;3.89;3514;28961;NULL;https://boardgamegeek.com/boardgame/172386/mombasa;Acquire shares of unique companies and propagate their trading posts to rake in cash.;10;13
136;The Lord of the Rings: Journeys in Middle-Earth;7.898;17742;2.69;7957;114541;104.98;https://boardgamegeek.com/boardgame/269385/the-lord-of-the-rings-journeys-in-middle-earth;Heroes explore Middle-earth, working together to combat evil in an epic campaign.;12;1
137;Age of Steam;7.862;12184;3.86;3228;46595;87.99;https://boardgamegeek.com/boardgame/4098/age-of-steam;Outperform your railroad rivals with shares, auctions, track-building, and deliveries;6;5
138;Wonderland's War;8.054;9289;3.04;6461;25270;NULL;https://boardgamegeek.com/boardgame/227935/wonderlands-war;The looking glass has shattered and war has come to Wonderland!;14;46
139;Patchwork;7.585;71267;1.6;9870;415362;32.08;https://boardgamegeek.com/boardgame/163412/patchwork;Piece together a quilt and leave no holes to become the button master.;40;47
140;Dominion;7.598;94566;2.35;10377;863239;39.56;https://boardgamegeek.com/boardgame/36218/dominion;Acquire the most valuable lands by building your deck with treasure and power cards.;2;16
141;Trajan;7.749;18486;3.63;4793;53405;NULL;https://boardgamegeek.com/boardgame/102680/trajan;Manage and rule all aspects of Ancient Rome with a clever action selection mancala.;10;1
142;Twilight Imperium: Third Edition;7.786;19460;4.26;4365;26133;159.99;https://boardgamegeek.com/boardgame/12493/twilight-imperium-third-edition;Epic empire-building game of interstellar conflict, trade, and struggle for power.;4;7
143;Aeon's End: War Eternal;8.239;6365;2.93;1430;22879;42.33;https://boardgamegeek.com/boardgame/218417/aeons-end-war-eternal;War Eternal is a standalone game compatible with the deck building game Aeon's End.;3;2
144;Russian Railroads;7.726;18594;3.4;3824;69135;NULL;https://boardgamegeek.com/boardgame/144733/russian-railroads;Acquire locomotives & industry, build track, and hire the best engineers in Russia.;2;5
145;Arkham Horror: The Card Game – Revised Core Set;8.612;4515;3.76;1499;27990;47.96;https://boardgamegeek.com/boardgame/359609/arkham-horror-the-card-game-revised-core-set;Revised core set repackages the original with support for 1-4p.;3;48
