row_id,boardgame,min_players,max_players,min_playtime,max_playtime,minimum_age,avg_rating,num_ratings,complexity,wishlisted,total_plays,amazon_price,categories,url,description
69,Mansions of Madness: Second Edition,1,5,120,180,14,7.925,38945,2.7,13456,100296,87.99,Adventure; Exploration; Fantasy; Fighting; Horror; Miniatures; Murder / Mystery; Mythology; Novel-based; Puzzle,https://boardgamegeek.com/boardgame/205059/mansions-of-madness-second-edition,Cling to your sanity as you investigate Lovecraftian horrors.
70,Tzolk'in: The Mayan Calendar,2,4,90,90,13,7.85,41310,3.66,9529,131173,59.95,Ancient; Civilization; Economic; Farming; Mythology,https://boardgamegeek.com/boardgame/126163/tzolkin-the-mayan-calendar,"Lead your people, build monuments and make offerings to earn the favour of the gods."
71,Power Grid,2,6,120,120,12,7.801,68031,3.25,12104,162101,41.57,Economic; Industry / Manufacturing,https://boardgamegeek.com/boardgame/2651/power-grid,"Bid, network, and manage resources in a race to supply the most cities with power."
72,Harmonies,1,4,30,45,10,8.026,19928,2.0,8135,195924,34.99,Abstract Strategy; Animals; Environmental,https://boardgamegeek.com/boardgame/414317/harmonies,Create your own landscape and habitats to welcome animals.
73,Quacks,2,4,45,45,10,7.808,55795,1.94,12458,278155,90.0,Fantasy; Medieval,https://boardgamegeek.com/boardgame/244521/quacks,"Pull ingredients from your stock to make your pot bubble, but hopefully not explode!"
74,Ticket to Ride Legacy: Legends of the West,2,5,20,90,10,8.669,5283,2.58,3587,61837,110.58,Trains,https://boardgamegeek.com/boardgame/390092/ticket-to-ride-legacy-legends-of-the-west,Build train lines across the United States in a twelve-game campaign.
75,Clans of Caledonia,1,4,30,120,12,7.935,21632,3.47,7316,78459,,Economic; Farming,https://boardgamegeek.com/boardgame/216132/clans-of-caledonia,"Lead your unique Scottish clan to economic might via production, trade, and export."
76,Paladins of the West Kingdom,1,4,90,120,12,7.964,19579,3.71,6224,59250,52.44,Medieval,https://boardgamegeek.com/boardgame/266810/paladins-of-the-west-kingdom,Invaders are coming from everywhere. Keep the faith and defend your homeland.
77,The Gallerist,1,4,60,150,13,8.012,15837,4.22,6646,38541,103.99,Economic,https://boardgamegeek.com/boardgame/125153/the-gallerist,"Amass a fortune, and stake your reputation by operating a lucrative art gallery."
78,Le Havre,1,5,30,150,12,7.838,33111,3.71,9953,89248,72.99,City Building; Economic; Industry / Manufacturing; Nautical,https://boardgamegeek.com/boardgame/35677/le-havre,"Establish a supply chain by collecting resources, building industries, and shipping."
79,Maracaibo,1,4,30,120,12,7.969,17965,3.91,6562,71304,73.74,Economic; Exploration; Nautical; Pirates,https://boardgamegeek.com/boardgame/276025/maracaibo,Seafarers journey to obtain wealth and fame in the 17th century Caribbean.
80,Star Wars: Imperial Assault,2,5,60,120,14,7.958,25476,3.3,7448,96859,89.97,Adventure; Exploration; Fighting; Miniatures; Movies / TV / Radio theme; Science Fiction; Wargame,https://boardgamegeek.com/boardgame/164153/star-wars-imperial-assault,Play as Rebel or Imperial forces to fulfill mission objectives.
81,Android: Netrunner,2,2,45,45,14,7.89,30934,3.41,5837,353165,,Bluffing; Card Game; Collectible Components; Science Fiction,https://boardgamegeek.com/boardgame/124742/android-netrunner,Megacorporation versus Netrunner in this futuristic cyberpunk game of cat and mouse.
82,The White Castle,1,4,80,80,12,7.994,17762,3.04,6505,100767,,Dice; Economic,https://boardgamegeek.com/boardgame/371942/the-white-castle,Become the most influential clan in Japan's Himeji stronghold.
83,Agricola (Revised Edition),1,4,30,120,12,7.955,20081,3.44,3920,66565,55.25,Animals; Economic; Farming,https://boardgamegeek.com/boardgame/200680/agricola-revised-edition,"Help your farm to prosper in this updated, streamlined edition of the acclaimed game."
84,Mechs vs. Minions,2,4,60,120,14,7.96,18015,2.46,8322,67984,,Fantasy; Fighting; Miniatures; Video Game Theme,https://boardgamegeek.com/boardgame/209010/mechs-vs-minions,Cooperatively program and pilot your mechs to defeat an army of marauding minions.
85,The Crew: The Quest for Planet Nine,2,5,20,20,10,7.771,46164,1.96,5952,620042,15.95,Card Game; Science Fiction; Space Exploration,https://boardgamegeek.com/boardgame/284083/the-crew-the-quest-for-planet-nine,Cooperate with your fellow astronauts as you explore the outer solar system.
86,Kingdom Death: Monster,1,4,60,180,17,8.479,10138,4.27,7352,56569,979.98,Adventure; Dice; Fantasy; Fighting; Horror; Mature / Adult; Miniatures; Mythology,https://boardgamegeek.com/boardgame/55690/kingdom-death-monster,Try to survive in a nightmarish world that lies under eternal darkness.
87,Blood on the Clocktower,6,21,30,120,15,8.371,8921,3.05,5944,103136,,Bluffing; Deduction; Murder / Mystery; Party Game,https://boardgamegeek.com/boardgame/240980/blood-on-the-clocktower,Deduce who the Demon is through logic and bluffing. Dead players still play.
88,Race for the Galaxy,2,4,30,60,12,7.739,57711,2.99,11309,761848,26.92,Card Game; Civilization; Economic; Science Fiction; Space Exploration,https://boardgamegeek.com/boardgame/28143/race-for-the-galaxy,"Worlds await! Colonize, develop and conquer, taking advantage of others' choices."
89,Great Western Trail: New Zealand,1,4,75,150,12,8.501,5701,4.0,2262,17510,59.99,Animals; Economic,https://boardgamegeek.com/boardgame/380607/great-western-trail-new-zealand,Tend to your sheep on the South Island of New Zealand.
90,Azul,2,4,30,45,8,7.726,101682,1.77,15351,817173,34.97,Abstract Strategy; Renaissance,https://boardgamegeek.com/boardgame/230802/azul,Artfully embellish the walls of your palace by drafting the most beautiful tiles.
91,Revive,1,4,90,120,14,8.098,10959,3.45,6289,47081,79.99,Civilization; Industry / Manufacturing; Science Fiction,https://boardgamegeek.com/boardgame/332772/revive,"Revive civilization, 5000 years after the fall of humankind."
92,Five Tribes: The Djinns of Naqala,2,4,40,80,13,7.767,43952,2.84,11403,137345,,Arabian; Fantasy; Mythology,https://boardgamegeek.com/boardgame/157354/five-tribes-the-djinns-of-naqala,"Move assassins, elders & builders through Naqala to claim oases & control djinns."
93,Darwin's Journey,1,4,60,120,14,8.116,10467,3.9,4691,43869,51.0,Exploration; Travel,https://boardgamegeek.com/boardgame/322289/darwins-journey,Retrace Darwin’s journey to the Galapagos in a worker-placement adventure.
94,Clank!: A Deck-Building Adventure,2,4,30,60,12,7.768,45619,2.23,12191,169240,,Adventure; Fantasy,https://boardgamegeek.com/boardgame/201808/clank-a-deck-building-adventure,Claim your treasures but don't attract the dragon in this deck-building dungeon race.
95,Fields of Arle,1,2,60,120,13,8.031,11925,3.85,6258,37500,84.99,Economic; Farming; Industry / Manufacturing,https://boardgamegeek.com/boardgame/159675/fields-of-arle,"Construct dikes, drain bogs, harvest flax and tend to newborn animals in East Frisia."
96,Wingspan Asia,1,2,40,70,10,8.236,8661,2.67,3403,25598,45.0,Animals; Economic; Educational,https://boardgamegeek.com/boardgame/366161/wingspan-asia,Travel to Asia to discover new birds for your wildlife preserve.
97,Eclipse: New Dawn for the Galaxy,2,6,60,180,14,7.822,28843,3.71,6825,55581,,Civilization; Fighting; Science Fiction; Space Exploration; Territory Building; Wargame,https://boardgamegeek.com/boardgame/72125/eclipse-new-dawn-for-the-galaxy,"Build an interstellar civilization by exploration, research, conquest, and diplomacy."
98,Aeon's End,1,4,60,60,14,7.876,22879,2.81,8407,130005,51.17,Card Game; Fantasy; Fighting; Science Fiction,https://boardgamegeek.com/boardgame/191189/aeons-end,Mages must reach their full potential to defend humanity from terrible monstrosities.
99,El Grande,2,5,60,120,12,7.765,31599,2.94,7400,63315,49.99,Medieval,https://boardgamegeek.com/boardgame/93/el-grande,"Use your caballeros to control regions of medieval Spain, keeping clear of the King!"
100,Lords of Waterdeep,2,5,60,120,12,7.731,58007,2.45,11120,190133,,City Building; Fantasy,https://boardgamegeek.com/boardgame/110327/lords-of-waterdeep,Deploy agents and hire adventurers to expand your control over the city of Waterdeep.
101,SCOUT,2,5,20,20,9,7.813,23798,1.38,5174,167615,22.99,Card Game,https://boardgamegeek.com/boardgame/291453/scout,Poach your opponents' artists and outdo each other's circus shows.
102,Teotihuacan: City of Gods,1,4,90,120,14,7.845,21364,3.77,5720,80807,56.97,Ancient; City Building; Economic,https://boardgamegeek.com/boardgame/229853/teotihuacan-city-of-gods,Use your worker dice to raise the legendary and breathtaking Pyramid of the Sun.
103,Concordia Venus,2,6,60,120,12,8.264,7022,3.01,3031,18463,64.38,Ancient; Economic,https://boardgamegeek.com/boardgame/256916/concordia-venus,Merchants build and trade throughout the Roman Empire to please the Gods.
104,Final Girl,1,1,20,60,14,8.242,9298,2.74,3979,52752,26.75,Card Game; Fantasy; Horror,https://boardgamegeek.com/boardgame/277659/final-girl,You alone must survive and defeat the horror movie killer.
105,Beyond the Sun,2,4,60,120,14,7.878,16615,3.14,6562,67587,67.84,Civilization; Science Fiction; Space Exploration,https://boardgamegeek.com/boardgame/317985/beyond-the-sun,Collectively develop a tech tree to fuel new discoveries and colonize space.
106,Voidfall,1,4,90,240,15,8.532,5654,4.59,6131,20136,120.0,Civilization; Economic; Science Fiction; Space Exploration,https://boardgamegeek.com/boardgame/337627/voidfall,"Repel the Voidborn and restore Domineum in this space themed, heavy Euro."
107,Through the Ages: A Story of Civilization,2,4,120,120,12,7.824,19728,4.18,4276,75234,,Civilization; Economic,https://boardgamegeek.com/boardgame/25613/through-the-ages-a-story-of-civilization,"Lead your civilization through strategic drafting of leaders, technologies, and more."
108,Dominant Species,2,6,120,240,14,7.804,22033,4.04,7359,37674,76.16,Animals; Environmental; Prehistoric,https://boardgamegeek.com/boardgame/62219/dominant-species,"With an ice age approaching, which animals will best propagate, migrate, and adapt?"
109,7 Wonders,2,7,30,30,10,7.669,109771,2.31,14516,639978,46.05,Ancient; Card Game; City Building; Civilization; Economic,https://boardgamegeek.com/boardgame/68448/7-wonders,Draft cards to develop your ancient civilization and build its Wonder of the World.
110,The Search for Planet X,1,4,60,75,13,7.913,14531,2.43,6408,57788,40.67,Deduction; Puzzle; Space Exploration,https://boardgamegeek.com/boardgame/279537/the-search-for-planet-x,"Plan, scan, and theorize to find a new planet at the edge of our solar system."
111,Robinson Crusoe: Adventures on the Cursed Island,1,4,60,120,14,7.731,45682,3.83,13284,125987,48.95,Adventure; Exploration; Fighting; Novel-based; Territory Building,https://boardgamegeek.com/boardgame/121921/robinson-crusoe-adventures-on-the-cursed-island,Work together — with friends or with Friday — to survive on a deserted island.
112,The Voyages of Marco Polo,2,4,40,100,12,7.769,25819,3.18,4930,101052,,Dice; Economic; Medieval; Travel,https://boardgamegeek.com/boardgame/171623/the-voyages-of-marco-polo,"Using unique abilities, fulfill contracts and reach your goals along the Silk Road."
113,Arcs,2,4,60,120,14,8.066,12182,3.42,9234,33907,56.46,Science Fiction; Space Exploration; Wargame,https://boardgamegeek.com/boardgame/359871/arcs,Lead a spacefaring society through an epic saga.
